N-Number,Serial Number,MFR MDL Code,Eng MFR Code,Year MFR,Type Registrant,Name,Street 1,Street2,City,State,ZIP,Region,County ,Country,Last Activity Date,Cert Issue Date,Certification Requested ,Type Aircraft,Type Engine,Status Code,Mode S Code,Fractional  Ownership,Airworthiness Date,Other Name 1,Other Name 2,Other Name 3,Other Name 4,Other Name 5,Expiration Date,Unique ID,Kit MFR Code,Kit Model,Mose S Code Hex
73283,31606,13844BZ,13802,2004,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC: U1228-51                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20160225,20040226,"1T        ",5,5,"V ",52353005," ",20040224,NULL,NULL,NULL,NULL,NULL,20190731,83759,"    ",NULL,NULL
16170,14500850,3260214,54582,2004,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150129,20040923,"1T        ",5,5,"V ",50174313," ",20040927,NULL,NULL,NULL,NULL,NULL,20180531,131889,"    ",NULL,NULL
390HA,1389,3940018,99999,2013,NULL,"WILMINGTON TRUST CO TRUSTEE                       ","ATTN CORPORATE TRUST ADMIN       ","1100 N MARKET ST                 ","WILMINGTON        ",DE,198901100,1,3,US,20150929,20130225,"1T        ",5,5,"V ",51101571," ",20130226,NULL,NULL,NULL,NULL,NULL,20190228,1115919,"    ",NULL,NULL
976SW,7952,1390008,30015,2004,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC: U1228-51                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150130,20050926,"1T        ",5,5,"V ",53315624," ",20040714,NULL,NULL,NULL,NULL,NULL,20180430,117069,"    ",NULL,NULL
391HA,1399,3940018,54592,2013,NULL,"HAWAIIAN AIRLINES INC                             ","3375 KOAPAKA ST STE G-350        ","                                 ","HONOLULU          ",HI,96819,4,3,US,20151110,20130409,"1T        ",5,5,"V ",51103460," ",20130410,NULL,NULL,NULL,NULL,NULL,20190430,1118180,"    ",NULL,NULL
392HA,1404,3940018,54592,2013,NULL,"WILMINGTON TRUST CO TRUSTEE                       ","ATTN: CORPORATE TRUST ADMIN      ","1100 N MARKET ST                 ","WILMINGTON        ",DE,19805,1,3,US,20160310,20130411,"1T        ",5,5,"V ",51105347," ",20130412,NULL,NULL,NULL,NULL,NULL,20190430,1118179,"    ",NULL,NULL
393HA,1422,3940018,54593,2013,NULL,"HAWAIIAN AIRLINES INC                             ","3375 KOAPAKA ST STE G350         ","                                 ","HONOLULU          ",HI,968191804,4,3,US,20160119,20130617,"1T        ",5,5,"V ",51107236," ",20130120,NULL,NULL,NULL,NULL,NULL,20190630,1125102,"    ",NULL,NULL
7736A,35109,1384511,13044,2006,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR HDQ-4GC       ","                                 ","DALLAS            ",TX,75235,2,113,US,20140708,20140708,"1T        ",5,5,"V ",52473527," ",20140619,NULL,NULL,NULL,NULL,NULL,20170731,294459,"    ",NULL,NULL
951AA,29538,13844CB,13802,2000,NULL,"AMERICAN AIRLINES INC                             ","4333 AMON CARTER BLVD # 5569     ","                                 ","FORT WORTH        ",TX,761552605,2,439,US,20150918,20001215,"1T        ",5,5,"V ",53234137," ",20001212,NULL,NULL,NULL,NULL,NULL,20190228,355940,"    ",NULL,NULL
184AA,"                              ","       ","     ","    ",NULL,"COIT MICHAEL                                      ","12400 COIT RD STE 1000           ","                                 ","DALLAS            ",TX,752512005,2,113,US,"        ","        ","          "," ","  ",5,50247611," ","        ",NULL,NULL,NULL,NULL,NULL,20170914,"        ","    ",NULL,NULL
786UA,26938,1385219,52119,1997,NULL,"UNITED AIRLINES INC                               ","ATTN: TREASURER WILLIS TOWER     ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151211,20130401,"1T        ",5,5,"V ",52524223," ",19970403,NULL,NULL,NULL,NULL,NULL,20190430,706411,"    ",NULL,NULL
