N-Number,Serial Number,MFR MDL Code,Eng MFR Code,Year MFR,Type Registrant,Name,Street 1,Street2,City,State,ZIP,Region,County ,Country,Last Activity Date,Cert Issue Date,Certification Requested ,Type Aircraft,Type Engine,Status Code,Mode S Code,Fractional  Ownership,Airworthiness Date,Other Name 1,Other Name 2,Other Name 3,Other Name 4,Other Name 5,Expiration Date,Unique ID,Kit MFR Code,Kit Model,Mose S Code Hex
638SW,27711,138447K,13802,1996,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20150727,19961105,"1T        ",5,5,"V ",52056431," ",19961004,NULL,NULL,NULL,NULL,NULL,20181130,985861,"    ",NULL,NULL
971AA,15065572,2071816,17020,1966,NULL,"BEVINS MICHAEL T                                  ","17034 W ZUNI ST                  ","                                 ","GOODYEAR          ",AZ,853387446,4,13,US,20141209,20141209,37,4,8,"V ",53303535," ",19661111,NULL,NULL,NULL,NULL,NULL,20171231,732742,"    ",NULL,NULL
559WN,30249,1384540,13044,2002,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST 5TH FLOOR          ","MAC U1228-051                    ","SALT LAKE CITY    ",UT,84111,S,35,US,20151209,20151209,"1T        ",5,5,"V ",51621333," ",20141125,NULL,NULL,NULL,NULL,NULL,20181231,1093688,"    ",NULL,NULL
14558,145598,3260212,"     ","    ",NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST 5TH FLOOR          ","MAC: U1228-51                    ","SALT LAKE CITY    ",UT,84111,S,35,US,20150129,20020529,"          ",5,5,25,50134153," ","        ",NULL,NULL,NULL,NULL,NULL,20170430,267301,"    ",NULL,NULL
760SW,27874,1384404,30016,2000,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20160830,20000316,"1T        ",5,5,"V ",52441455," ",20070507,NULL,NULL,NULL,NULL,NULL,20191231,583747,"    ",NULL,NULL
797SK,10301,1390015,30052,2010,NULL,"SKYWEST AIRLINES INC                              ","444 S RIVER RD                   ","                                 ","ST GEORGE         ",UT,847902085,S,53,US,20160810,20100201,"1T        ",5,5,"V ",52551640," ",20100205,NULL,NULL,NULL,NULL,NULL,20191231,1048401,"    ",NULL,NULL
7744A,33931,1384511,13044,2007,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DRIVE # HDQ 4GC  ","                                 ","DALLAS            ",TX,752351908,2,113,US,20160526,20130911,"1T        ",5,5,"V ",52475310," ",20130812,NULL,NULL,NULL,NULL,NULL,20190930,324459,"    ",NULL,NULL
904EV,7628,1390008,30015,2002,NULL,"EXPRESSJET AIRLINES INC                           ","ATTN DIRECTOR-MAINTENANCE        ","990 TOFFIE TER                   ","ATLANTA           ",GA,303541363,7,121,US,20160811,20020327,"1T        ",5,5,"V ",53077200," ",20020327,NULL,NULL,NULL,NULL,NULL,20191130,654177,"    ",NULL,NULL
905EV,7632,1390008,30015,2002,NULL,"EXPRESSJET AIRLINES INC                           ","ATTN DIRECTOR-MAINTENANCE        ","990 TOFFIE TER                   ","ATLANTA           ",GA,303541363,7,121,US,20161003,20020404,"1T        ",5,5,"V ",53101067," ",20020404,NULL,NULL,NULL,NULL,NULL,20200131,483966,"    ",NULL,NULL
679AA,"                              ","       ","     ","    ",NULL,"CANCELLED/NOT ASSIGNED                            ","                                 ","                                 ","                  ","  ","          "," ","   ","  ","        ","        ","          "," ","  ",5,52176450," ","        ",NULL,NULL,NULL,NULL,NULL,"        ","        ","    ",NULL,NULL
17105,27295,1384958,54555,1994,NULL,"UNITED AIRLINES INC                               ","233 S WACKER DR                  ","                                 ","CHICAGO           ",IL,606067147,C,31,US,20160629,20160629,"1T        ",5,4,"V ",50217532," ",19940818,NULL,NULL,NULL,NULL,NULL,20190630,584702,"    ",NULL,NULL
920AT,55083,1383700,9500,2000,NULL,"BCC EQUIPMENT LEASING CORP                        ","PO BOX 3707                      ","M/C: 6Y2-02                      ","SEATTLE           ",WA,981242207,S,33,US,20161117,20010413,"1T        ",5,5,"V ",53137074," ",20010129,NULL,NULL,NULL,NULL,NULL,20200229,553634,"    ",NULL,NULL
254SY,17000621,3260415,"     ","    ",NULL,"SKYWEST AIRLINES INC                              ","444 S RIVER RD                   ","                                 ","ST GEORGE         ",UT,847902085,S,53,US,20161213,20161213,"          ",5,5,"V ",50464001," ","        ",NULL,NULL,NULL,NULL,NULL,20191231,1237828,"    ",NULL,NULL
751AA,"750-0068                      ",2076810,3028,1999,NULL,"POET LLC                                          ","4615 N LEWIS AVE                 ","                                 ","SIOUX FALLS       ",SD,571047116,C,99,US,20161006,20100528,"1T        ",5,5,25,52416701," ",19990312,NULL,NULL,NULL,NULL,NULL,20170430,73686,"    ",NULL,NULL
562JB,1948,3940004,34601,2003,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20161130,20030312,"1T        ",5,5,"V ",51627442," ",20030422,NULL,NULL,NULL,NULL,NULL,20191231,35989,"    ",NULL,NULL
916DE,53421,3023688,52053,1993,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595                         ","ATLANTA           ",GA,30354,7,121,US,20140508,19930611,"1T        ",5,5,"V ",53126505," ",19930514,NULL,NULL,NULL,NULL,NULL,20170831,954102,"    ",NULL,NULL
611AS,29753,13844CN,13802,1999,NULL,"ALASKA AIRLINES INC                               ","C/O LEGAL DEPT SEAZL             ","19300 INTERNATIONAL BLVD         ","SEATAC            ",WA,981885304,S,33,US,20150331,19991007,"1T        ",5,5,"V ",51771206," ",19991012,NULL,NULL,NULL,NULL,NULL,20180831,333667,"    ",NULL,NULL
906AT,55087,1383700,9500,2001,NULL,"BCC EQUIPMENT LEASING CORP                        ","M/C 6Y1-02                       ","PO BOX 3707                      ","SEATTLE           ",WA,981242207,S,33,US,20160930,20010427,"1T        ",5,5,"V ",53102610," ",20010412,NULL,NULL,NULL,NULL,NULL,20200131,583634,"    ",NULL,NULL
373SW,26581,138447K,13802,1993,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20141007,19930825,"1T        ",5,5,"V ",51040225," ",19930802,NULL,NULL,NULL,NULL,NULL,20180228,224072,"    ",NULL,NULL
986AT,55089,1383700,9500,2001,NULL,"BCC EQUIPMENT LEASING CORP                        ","PO BOX 3707                      ","M/C: 6Y1-02                      ","SEATTLE           ",WA,981242207,S,33,US,20140221,20010620,"1T        ",5,5,"V ",53340600," ",20010611,NULL,NULL,NULL,NULL,NULL,20170731,833634,"    ",NULL,NULL
11176,14500881,3260214,54582,2004,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC: U1228-051                   ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20151124,20050112,"1T        ",5,5,"V ",50031526," ",20050114,NULL,NULL,NULL,NULL,NULL,20190430,150659,"    ",NULL,NULL
947SW,7786,1390008,30015,2003,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ",299 S MAIN ST 5TH FL MAC U1228-51,"                                 ","SALT LAKE CITY    ",UT,84111,S,35,US,20150825,20041207,"1T        ",5,5,"V ",53224316," ",20030417,NULL,NULL,NULL,NULL,NULL,20190131,42129,"    ",NULL,NULL
209WN,32484,1384404,13802,2005,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR HDG-4GC       ","                                 ","DALLAS            ",TX,752351908,2,113,US,20140224,20050505,"1T        ",5,5,"V ",50332563," ",20050422,NULL,NULL,NULL,NULL,NULL,20170630,114119,"    ",NULL,NULL
597AS,35689,1384527,13046,2008,NULL,"ALASKA AIRLINES INC                               ","C/O LEGAL DEPT SEAZL             ","19300 INTERNATIONAL BLVD         ","SEATAC            ",WA,981885304,S,33,US,20140306,20080509,"1T        ",5,5,"V ",51733571," ",20080504,NULL,NULL,NULL,NULL,NULL,20170630,436809,"    ",NULL,NULL
340NB,1714,3940002,13802,2002,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATION   ","ATLANTA           ",GA,303543743,7,121,US,20160408,20091231,"1T        ",5,5,"V ",50737174," ",20020430,NULL,NULL,NULL,NULL,NULL,20190630,223966,"    ",NULL,NULL
845UA,1585,3930317,34601,2001,NULL,"UNITED AIRLINES INC                               ","ATTN:  TREASURER WILLIS TOWER    ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151210,20130401,"1T        ",5,4,"V ",52712057," ",20020123,NULL,NULL,NULL,NULL,NULL,20190430,203867,"    ",NULL,NULL
456WN,32463,1384404,13802,2004,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20140224,20040512,"1T        ",5,5,"V ",51305147," ",20040410,NULL,NULL,NULL,NULL,NULL,20170630,60029,"    ",NULL,NULL
768SK,10234,1390015,30052,2005,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC: U1240-026                   ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150202,20060731,"1T        ",5,5,"V ",52460332," ",20060103,NULL,NULL,NULL,NULL,NULL,20171031,224559,"    ",NULL,NULL
358NB,1897,3940002,13802,2003,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATION   ","ATLANTA           ",GA,303543743,7,121,US,20160408,20091231,"1T        ",5,5,"V ",51001663," ",20030422,NULL,NULL,NULL,NULL,NULL,20190630,37419,"    ",NULL,NULL
874AA,21386,1384074,52048,1978,NULL,"SAVE A CONNIE INC                                 ","201 NW LOU HOLLAND DR            ","                                 ","KANSAS CITY       ",MO,641164223,3,95,US,20160720,20160719,"1T        ",5,4,"V ",53002463," ",19780412,NULL,NULL,NULL,NULL,NULL,20190731,672191,"    ",NULL,NULL
433LV,33716,1384404,13802,2003,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DRIVE            ","HDQ-4GC                          ","DALLAS            ",TX,752351908,2,113,US,20140224,20030505,"1T        ",5,5,"V ",51227521," ",20030325,NULL,NULL,NULL,NULL,NULL,20170630,31909,"    ",NULL,NULL
25134,145714,3260214,54582,2003,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20160819,20030416,"1T        ",5,5,"V ",50457023," ",20050225,NULL,NULL,NULL,NULL,NULL,20200131,41409,"    ",NULL,NULL
193AA,"741SA                         ",5780460,1514,1979,NULL,"BIG MOUNTAIN AVIATION INC                         ","1190 HASKILL BASIN RD            ","                                 ","WHITEFISH         ",MT,599378131,S,29,US,20140331,20140331,"1N        ",5,2,25,50271521," ",19920623,NULL,NULL,NULL,NULL,NULL,20170331,534192,"    ",NULL,NULL
915EV,7754,1390008,30015,2003,NULL,"EXPRESSJET AIRLINES INC                           ","ATTN: DIRECTOR - MAINTENANCE     ","990 TOFFIE TER                   ","ATLANTA           ",GA,303541363,7,121,US,20160419,20030131,"1T        ",5,5,"V ",53124666," ",20030201,NULL,NULL,NULL,NULL,NULL,20190430,29559,"    ",NULL,NULL
585AA,53248,3022082,52053,1991,NULL,"AEROTHRUST HOLDINGS LEASING LLC                   ","PO BOX 522236                    ","                                 ","MIAMI             ",FL,331522236,7,25,US,20160802,20160802,"1T        ",5,5,"V ",51704174," ",19910822,NULL,NULL,NULL,NULL,NULL,20190831,114831,"    ",NULL,NULL
489AA,49682,3022082,52053,1989,NULL,"AMERICAN AIRLINES INC                             ","4333 AMON CARTER BLVD # 5569     ","                                 ","FORT WORTH        ",TX,761552605,2,439,US,20160617,19890329,"1T        ",5,5,"V ",51405011," ",19890127,NULL,NULL,NULL,NULL,NULL,20191130,795440,"    ",NULL,NULL
655AA,24613,1384957,54555,1991,NULL,"AMERICAN AIRLINES INC                             ","4333 AMON CARTER BLVD # MD5569   ","                                 ","FORT WORTH        ",TX,761552605,2,439,US,20150325,19911028,"1T        ",5,5,"V ",52117516," ",19911028,NULL,NULL,NULL,NULL,NULL,20180831,784381,"    ",NULL,NULL
665AA,25299,1384957,54555,1992,NULL,"AMERICAN AIRLINES INC                             ","4333 AMON CARTER BLVD # 5569     ","                                 ","FORT WORTH        ",TX,761552605,2,439,US,20160617,19920318,"1T        ",5,5,"V ",52143315," ",19920316,NULL,NULL,NULL,NULL,NULL,20191130,905301,"    ",NULL,NULL
457WN,33856,1384404,13802,2004,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR               ","HDQ-4GC                          ","DALLAS            ",TX,75235,2,113,US,20140224,20040511,"1T        ",5,5,"V ",51307036," ",20040408,NULL,NULL,NULL,NULL,NULL,20170630,60059,"    ",NULL,NULL
971AT,55032,1383700,54565,2001,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20151119,20020129,"1T        ",5,5,"V ",53303556," ",20011213,NULL,NULL,NULL,NULL,NULL,20190430,973837,"    ",NULL,NULL
925EV,7831,1390008,30015,2003,NULL,"EXPRESSJET AIRLINES INC                           ","ATTN DIRECTOR QUALITY            ","990 TOFFIE TER                   ","ATLANTA           ",GA,303541363,7,121,US,20150109,20030822,"1T        ",5,5,"V ",53150465," ",20030822,NULL,NULL,NULL,NULL,NULL,20180228,64209,"    ",NULL,NULL
945SW,7770,1390008,30015,2003,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ",299 S MAIN ST 5TH FL MAC U1228-51,"                                 ","SALT LAKE CITY    ",UT,84111,S,35,US,20150825,20041207,"1T        ",5,5,"V ",53220540," ",20030320,NULL,NULL,NULL,NULL,NULL,20190131,37059,"    ",NULL,NULL
247JB,19000042,3260408,30023,2006,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150129,20060822,"1T        ",5,5,"V ",50445312," ",20060822,NULL,NULL,NULL,NULL,NULL,20180131,279219,"    ",NULL,NULL
520AS,36481,1384527,13046,2009,NULL,"ALASKA AIRLINES INC                               ","C/O LEGAL DEPT SEAZL             ","19300 INTERNATIONAL BLVD         ","SEATTLE           ",WA,98188,S,33,US,20160406,20090219,"1T        ",5,5,"V ",51504377," ",20090212,NULL,NULL,NULL,NULL,NULL,20190831,1002121,"    ",NULL,NULL
211UA,30217,1385219,52119,2000,NULL,"UNITED AIRLINES INC                               ","ATTN: TREASURER WILLIS TOWER     ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151209,20130401,"1T        ",5,5,"V ",50337374," ",20000517,NULL,NULL,NULL,NULL,NULL,20190430,973737,"    ",NULL,NULL
563JB,2006,3940004,34601,2003,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20161110,20030521,"1T        ",5,5,"V ",51631331," ",20030701,NULL,NULL,NULL,NULL,NULL,20200430,47379,"    ",NULL,NULL
303DN,7061,3940005,13101,2016,NULL,"DELTA AIR LINES INC                               ","DEPT 595 AIRCRAFT REGISTRATIONS  ","1775 M H JACKSON SERVICE RD      ","ATLANTA           ",GA,30354,7,121,US,20160429,20160429,"1T        ",5,5,"V ",50625317," ",20160430,NULL,NULL,NULL,NULL,NULL,20190430,1213832,"    ",NULL,NULL
461UA,1266,3930326,34601,2000,NULL,"UNITED AIRLINES INC                               ","ATTN: TREASURER WILLIS TOWER     ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151211,20130401,"1T        ",5,5,"V ",51317425," ",20000905,NULL,NULL,NULL,NULL,NULL,20190430,945910,"    ",NULL,NULL
986AA,"                              ","       ","     ","    ",NULL,"CANCELLED/NOT ASSIGNED                            ","                                 ","                                 ","                  ","  ","          "," ","   ","  ","        ","        ","          "," ","  ",5,53340557," ","        ",NULL,NULL,NULL,NULL,NULL,"        ","        ","    ",NULL,NULL
659DL,24421,1384965,"     ",1990,NULL,"WILMINGTON TRUST CO TRUSTEE                       ","CORPORATE TRUST ADMINISTRATION   ","RODNEY SQ N 1100 N MARKET ST     ","WILMINGTON        ",DE,19890,1,3,US,20150422,20071004,"          ",5,5,"V ",52127177," ","        ",NULL,NULL,NULL,NULL,NULL,20180930,364511,"    ",NULL,NULL
258JB,19000047,3260408,30023,2006,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150401,20061005,"1T        ",5,5,"V ",50473000," ",20061005,NULL,NULL,NULL,NULL,NULL,20180731,291539,"    ",NULL,NULL
208WN,29856,1384404,13802,2005,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20161116,20050413,"1T        ",5,5,"V ",50330674," ",20050330,NULL,NULL,NULL,NULL,NULL,20200331,114109,"    ",NULL,NULL
719EV,10099,1390015,30015,2003,NULL,"EXPRESSJET AIRLINES INC                           ","ATTN DIRECTOR - QUALITY          ","990 TOFFIE TER                   ","ATLANTA           ",GA,303541363,7,121,US,20161003,20030430,"1T        ",5,5,"V ",52316764," ",20030430,NULL,NULL,NULL,NULL,NULL,20200131,44329,"    ",NULL,NULL
75425,33460,13848A3,13073,2008,NULL,"UNITED AIRLINES INC                               ","ATTN TREASURER WILLIS TOWER      ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20140516,20080701,"1T        ",5,5,"V ",52425641," ",20080629,NULL,NULL,NULL,NULL,NULL,20171031,1005640,"    ",NULL,NULL
546US,26493,1384970,52117,1996,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,303543743,7,121,US,20160408,20091231,"1T        ",5,4,"V ",51570011," ",19960618,NULL,NULL,NULL,NULL,NULL,20190630,305621,"    ",NULL,NULL
547US,26494,1384970,52117,1996,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 575 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,303543743,7,121,US,20160408,20091231,"1T        ",5,4,"V ",51571700," ",19960823,NULL,NULL,NULL,NULL,NULL,20190630,335621,"    ",NULL,NULL
187DN,27582,1385101,52119,1996,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595                         ","ATLANTA           ",GA,303543743,7,121,US,20140508,19960620,"1T        ",5,5,"V ",50255405," ",19960619,NULL,NULL,NULL,NULL,NULL,20170831,315861,"    ",NULL,NULL
377DA,29625,13844CF,13802,1999,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595                         ","ATLANTA           ",GA,303543743,7,121,US,20140314,19990511,"1T        ",5,4,"V ",51047030," ",19990509,NULL,NULL,NULL,NULL,NULL,20170630,963657,"    ",NULL,NULL
497UA,1847,3940004,34601,2002,NULL,"UNITED AIRLINES INC                               ","ATTN TREASURER WILLIS TOWER      ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151209,20130401,"1T        ",5,5,"V ",51425734," ",20021008,NULL,NULL,NULL,NULL,NULL,20190430,7449,"    ",NULL,NULL
192JB,19000014,3260408,99999,2005,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST 5TH FLOOR          ","MAC U1228-51                     ","SALT LAKE CITY    ",UT,84111,S,35,US,20150818,20051215,"1T        ",5,5,"V ",50270143," ",20051216,NULL,NULL,NULL,NULL,NULL,20190131,220299,"    ",NULL,NULL
927FR,2209,3940009,13018,2004,NULL,"WILMINGTON TRUST CO TRUSTEE                       ","1100 N MARKET ST                 ","                                 ","WILMINGTON        ",DE,198901100,1,3,US,20151205,20130315,"1T        ",5,5,"V ",53154270," ",20130124,NULL,NULL,NULL,NULL,NULL,20190331,106769,"    ",NULL,NULL
697SW,23838,138447G,13802,1988,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DRIVE HDQ-4GC    ","                                 ","DALLAS            ",TX,75235,2,113,US,20160305,19950118,"1T        ",5,4,"V ",52243134," ",19880302,NULL,NULL,NULL,NULL,NULL,20190630,123831,"    ",NULL,NULL
12160,145799,3260214,54582,2004,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U-1228-51                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20160819,20040414,"1T        ",5,5,"V ",50055254," ",20040416,NULL,NULL,NULL,NULL,NULL,20200131,101199,"    ",NULL,NULL
938DL,49811,3023688,52053,1989,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595                         ","ATLANTA           ",GA,303543743,7,121,US,20140508,19890623,"1T        ",5,5,"V ",53201667," ",19890519,NULL,NULL,NULL,NULL,NULL,20170831,174331,"    ",NULL,NULL
830UA,1243,3930317,34601,2000,NULL,"UNITED AIRLINES INC                               ","ATTN: TREASURER WILLIS TOWER     ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151211,20130401,"1T        ",5,4,"V ",52655035," ",20000705,NULL,NULL,NULL,NULL,NULL,20190430,515820,"    ",NULL,NULL
727SK,10191,1390015,30015,2005,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST 5TH FLOOR          ","MAC U1228-51                     ","SALT LAKE CITY    ",UT,84111,S,35,US,20150129,20050927,"1T        ",5,5,"V ",52337447," ",20050114,NULL,NULL,NULL,NULL,NULL,20180430,151179,"    ",NULL,NULL
620SW,28036,138447K,13802,1996,NULL,"US BANK NATIONAL ASSOC TRUSTEE                    ","300 DELAWARE AVE FL 9            ","                                 ","WILMINGTON        ",DE,198011607,1,3,US,20160831,20090306,"1T        ",5,5,"V ",52013742," ",19960111,NULL,NULL,NULL,NULL,NULL,20191231,755482,"    ",NULL,NULL
14158,145791,3260214,54582,2004,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20160513,20040311,"1T        ",5,5,"V ",50124617," ",20040313,NULL,NULL,NULL,NULL,NULL,20191031,94979,"    ",NULL,NULL
446SW,7666,1390008,30015,2002,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150407,20030827,41,5,5,"V ",51261214," ",20060509,NULL,NULL,NULL,NULL,NULL,20180131,574187,"    ",NULL,NULL
440SW,7589,1390008,30015,2001,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST 5TH FL             ","MAC: U1228-51                    ","SALT LAKE CITY    ",UT,84111,S,35,US,20150818,20011231,"1T        ",5,5,"V ",51246102," ",20011213,NULL,NULL,NULL,NULL,NULL,20190131,123987,"    ",NULL,NULL
939FR,2448,3940009,13018,2005,NULL,"WILMINGTON TRUST CO TRUSTEE                       ","1100 N MARKET ST                 ","                                 ","WILMINGTON        ",DE,198901100,1,3,US,20151030,20130226,"1T        ",5,5,"V ",53203645," ",20130226,NULL,NULL,NULL,NULL,NULL,20190228,172549,"    ",NULL,NULL
565JB,2031,3940004,34601,2003,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC: U1228-51                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150129,20030618,"1T        ",5,5,"V ",51635107," ",20030807,NULL,NULL,NULL,NULL,NULL,20170731,52509,"    ",NULL,NULL
667AA,"                              ","       ","     ","    ",NULL,"CANCELLED/NOT ASSIGNED                            ","                                 ","                                 ","                  ","  ","          "," ","   ","  ","        ","        ","          "," ","  ",5,52147073," ","        ",NULL,NULL,NULL,NULL,NULL,"        ","        ","    ",NULL,NULL
273JB,19000073,3260408,30023,2007,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC: U1228-51                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150130,20070629,"1T        ",5,5,"V ",50531153," ",20070629,NULL,NULL,NULL,NULL,NULL,20170731,348309,"    ",NULL,NULL
11109,145657,3260214,54582,2002,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC: U1228-51                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150128,20030625,"1T        ",5,5,"V ",50031144," ",20050225,NULL,NULL,NULL,NULL,NULL,20170831,13929,"    ",NULL,NULL
11107,145654,3260214,54582,2002,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC: U1228-51                    ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150128,20030625,"1T        ",5,5,"V ",50031142," ",20050225,NULL,NULL,NULL,NULL,NULL,20170731,13669,"    ",NULL,NULL
7842A,30237,1384540,13044,2000,NULL,"AFS INVESTMENTS 56 LLC                            ","C/O GECAS                        ","901 MAIN AVE                     ","NORWALK           ",CT,68511168,E,1,US,20160210,20160210,"1T        ",5,5,"V ",52521001," ",20160809,NULL,NULL,NULL,NULL,NULL,20190228,1047122,"    ",NULL,NULL
548US,26495,1384970,52117,1996,NULL,"DELTA AIR LINES INC                               ","1775 M H JACKSON SERVICE RD      ","DEPT 595 AIRCRAFT REGISTRATIONS  ","ATLANTA           ",GA,303543743,7,121,US,20160408,20091231,"1T        ",5,4,"V ",51573567," ",19960830,NULL,NULL,NULL,NULL,NULL,20190630,315621,"    ",NULL,NULL
989AA,"401A-0042                     ",207590D,17040,1969,NULL,"IMAGINE AIR LTD                                   ","19227 JACQUIE AVE                ","                                 ","LOCKPORT          ",IL,604461914,C,197,US,20140514,20100521,"          ",5,1,25,53346224," ","        ",NULL,NULL,NULL,NULL,NULL,20170531,370974,"    ",NULL,NULL
675BR,7635,1390008,30070,2002,NULL,"US BANK NA TRUSTEE                                ","CORPORATE TRUST SERVICES         ","225 ASYLUM ST FL 23              ","HARTFORD          ",CT,61031534,E,3,US,20161102,20100407,"1T        ",5,5,"V ",52167164," ",20020529,NULL,NULL,NULL,NULL,NULL,20200229,927311,"    ",NULL,NULL
712SK,10172,1390015,30015,2004,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","MAC U1228-51                     ","299 S MAIN ST FL 5               ","SALT LAKE CITY    ",UT,841112689,S,35,US,20150330,20051024,"1T        ",5,5,"V ",52302425," ",20041028,NULL,NULL,NULL,NULL,NULL,20180731,136279,"    ",NULL,NULL
463UA,1282,3930326,34601,2000,NULL,"UNITED AIRLINES INC                               ","ATTN TREASURER WILLIS TOWER      ","233 S WACKER DR                  ","CHICAGO           ",IL,606067147,C,31,US,20151211,20130401,"1T        ",5,5,"V ",51323203," ",20000922,NULL,NULL,NULL,NULL,NULL,20190430,995970,"    ",NULL,NULL
